"Date","Team","Opponent","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","Def2ptRebounds","Def2ptReboundPct","Def3ptRebounds","Def3ptReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","Off2ptRebounds","Off2ptReboundPct","Off3ptRebounds","Off3ptReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct"
"2013-11-18","GSW","UTA","33:15",6,4,0,0,3,0.10714285714285714,1,0.3333333333333333,0.12903225806451613,2,0,0,1,0.047619047619047616,1,0.1111111111111111,0.06666666666666667,0,0.1111111111111111,0.15384615384615385,0.3333333333333333,0,0.08333333333333333,0,0,0.125,0
"2013-11-16","GSW","UTA","38:30",3,3,0,0,3,0.12,0,0,0.0967741935483871,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0
"2013-11-14","GSW","OKC","43:06",5,5,0,0,2,0.08695652173913043,3,0.25,0.14285714285714285,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0.2727272727272727,0,0,0,0,0,0
"2013-11-12","GSW","DET","29:00",2,1,0,0,1,0.043478260869565216,0,0,0.03333333333333333,1,0,0,1,0.09090909090909091,0,0,0.0625,0,0,0.1111111111111111,0,0,0,0.25,0,0,0
"2013-11-09","GSW","MEM","34:22",2,1,0,0,1,0.043478260869565216,0,0,0.03571428571428571,1,0,0,1,0.05555555555555555,0,0,0.030303030303030304,0,0,0.09090909090909091,0,0,0,0.2,0,0,0
"2013-11-06","GSW","MIN","24:11",1,1,0,0,1,0.04,0,0,0.03571428571428571,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0
"2013-11-04","GSW","PHI","29:13",10,7,0,0,4,0.2,3,0.23076923076923078,0.21212121212121213,3,0,0,3,0.17647058823529413,0,0,0.10344827586206896,0.1111111111111111,0.42857142857142855,0,0.1,0.6666666666666666,0,1,0.14285714285714285,0,0
"2013-11-02","GSW","SAC","32:30",1,1,0,0,0,0,1,0.07692307692307693,0.025,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
"2013-10-31","GSW","LAC","38:29",3,3,0,0,2,0.1111111111111111,1,0.0625,0.08823529411764706,0,0,0,0,0,0,0,0,0.09090909090909091,0,0.25,0.07692307692307693,0,0,0,0,0,0
"2013-10-30","GSW","LAL","23:56",4,4,0,0,4,0.16,0,0,0.13793103448275862,0,0,0,0,0,0,0,0,0.14285714285714285,0.25,0.1,0,0,0,0,0,0,0
