,date,home,vs,quarter,time_left,shot_made,shot_value,shot_distance,cum_shot,game_time
688,2010-02-23 00:00:00,True,PHI,2,1900-01-01 00:04:16,True,2,3,3.0,19.733333333333334
689,2010-02-23 00:00:00,True,PHI,2,1900-01-01 00:03:29,True,2,17,4.0,20.516666666666666
690,2010-02-23 00:00:00,True,PHI,3,1900-01-01 00:11:16,False,2,16,4.0,24.733333333333334
691,2010-02-23 00:00:00,True,PHI,3,1900-01-01 00:10:44,False,2,15,4.0,25.266666666666666
692,2010-02-23 00:00:00,True,PHI,3,1900-01-01 00:08:49,False,2,21,4.0,27.183333333333334
693,2010-02-23 00:00:00,True,PHI,3,1900-01-01 00:04:11,False,3,27,4.0,31.816666666666666
694,2010-02-23 00:00:00,True,PHI,3,1900-01-01 00:03:17,False,2,5,4.0,32.71666666666667
695,2010-02-23 00:00:00,True,PHI,3,1900-01-01 00:02:24,False,3,24,4.0,33.6
696,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:10:25,False,3,27,4.0,37.583333333333336
697,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:08:30,False,2,2,4.0,39.5
698,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:06:50,True,2,3,5.0,41.166666666666664
699,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:05:09,True,3,23,6.0,42.85
700,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:03:55,True,2,3,7.0,44.083333333333336
701,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:03:21,True,2,1,8.0,44.65
702,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:01:32,False,3,26,8.0,46.46666666666667
703,2010-02-23 00:00:00,True,PHI,4,1900-01-01 00:01:32,False,3,26,8.0,46.46666666666667
764,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:09:18,False,2,21,0.0,2.6999999999999993
765,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:09:00,True,2,0,1.0,3.0
766,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:07:31,False,2,16,1.0,4.483333333333333
767,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:06:26,False,3,23,1.0,5.566666666666666
768,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:03:24,False,2,14,1.0,8.6
769,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:00:49,False,2,20,1.0,11.183333333333334
770,2010-03-03 00:00:00,False,ORL,1,1900-01-01 00:00:49,False,2,18,1.0,11.183333333333334
771,2010-03-03 00:00:00,False,ORL,2,1900-01-01 00:11:53,False,2,0,1.0,12.116666666666667
772,2010-03-03 00:00:00,False,ORL,2,1900-01-01 00:05:31,False,2,12,1.0,18.483333333333334
773,2010-03-03 00:00:00,False,ORL,3,1900-01-01 00:06:57,True,3,24,2.0,29.05
774,2010-03-03 00:00:00,False,ORL,4,1900-01-01 00:10:41,False,2,16,2.0,37.31666666666666
775,2010-03-03 00:00:00,False,ORL,4,1900-01-01 00:08:15,True,2,0,3.0,39.75
795,2010-03-06 00:00:00,False,CHA,1,1900-01-01 00:10:35,False,3,26,0.0,1.416666666666666
796,2010-03-06 00:00:00,False,CHA,1,1900-01-01 00:10:06,False,2,10,0.0,1.9000000000000004
797,2010-03-06 00:00:00,False,CHA,1,1900-01-01 00:06:18,False,2,18,0.0,5.7
798,2010-03-06 00:00:00,False,CHA,1,1900-01-01 00:05:13,True,2,19,1.0,6.783333333333333
799,2010-03-06 00:00:00,False,CHA,1,1900-01-01 00:04:48,False,2,19,1.0,7.2
800,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:10:30,True,2,0,2.0,13.5
801,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:09:42,True,3,24,3.0,14.3
802,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:07:16,True,3,25,4.0,16.733333333333334
803,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:04:37,False,2,17,4.0,19.383333333333333
804,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:03:42,True,2,17,5.0,20.3
805,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:00:40,False,2,0,5.0,23.333333333333332
806,2010-03-06 00:00:00,False,CHA,2,1900-01-01 00:00:40,False,2,18,5.0,23.333333333333332
807,2010-03-06 00:00:00,False,CHA,3,1900-01-01 00:07:31,False,3,25,5.0,28.483333333333334
808,2010-03-06 00:00:00,False,CHA,3,1900-01-01 00:07:03,False,2,9,5.0,28.95
809,2010-03-06 00:00:00,False,CHA,3,1900-01-01 00:04:59,True,3,26,6.0,31.016666666666666
810,2010-03-06 00:00:00,False,CHA,3,1900-01-01 00:03:12,False,2,21,6.0,32.8
811,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:11:18,False,3,24,6.0,36.7
812,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:07:54,True,3,23,7.0,40.1
813,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:07:17,True,2,17,8.0,40.71666666666667
814,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:03:43,False,2,0,8.0,44.28333333333333
815,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:02:41,False,3,25,8.0,45.31666666666667
816,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:02:36,False,2,0,8.0,45.4
817,2010-03-06 00:00:00,False,CHA,4,1900-01-01 00:02:10,False,2,21,8.0,45.833333333333336
830,2010-03-11 00:00:00,True,POR,1,1900-01-01 00:11:30,False,3,28,0.0,0.5
831,2010-03-11 00:00:00,True,POR,1,1900-01-01 00:09:58,True,2,13,1.0,2.033333333333333
832,2010-03-11 00:00:00,True,POR,1,1900-01-01 00:06:48,True,2,0,2.0,5.2
833,2010-03-11 00:00:00,True,POR,1,1900-01-01 00:05:24,False,3,30,2.0,6.6
834,2010-03-11 00:00:00,True,POR,1,1900-01-01 00:04:41,False,2,3,2.0,7.316666666666666
835,2010-03-11 00:00:00,True,POR,2,1900-01-01 00:10:17,False,2,2,2.0,13.716666666666667
836,2010-03-11 00:00:00,True,POR,2,1900-01-01 00:09:25,True,2,11,3.0,14.583333333333334
837,2010-03-11 00:00:00,True,POR,2,1900-01-01 00:06:10,False,2,17,3.0,17.833333333333332
838,2010-03-11 00:00:00,True,POR,2,1900-01-01 00:02:45,False,2,18,3.0,21.25
839,2010-03-11 00:00:00,True,POR,2,1900-01-01 00:02:45,True,2,1,4.0,21.25
840,2010-03-11 00:00:00,True,POR,3,1900-01-01 00:11:45,True,3,28,5.0,24.25
841,2010-03-11 00:00:00,True,POR,4,1900-01-01 00:05:15,False,3,28,5.0,42.75
842,2010-03-11 00:00:00,True,POR,4,1900-01-01 00:02:26,False,3,23,5.0,45.56666666666667
843,2010-03-11 00:00:00,True,POR,4,1900-01-01 00:01:30,True,3,27,6.0,46.5
844,2010-03-11 00:00:00,True,POR,4,1900-01-01 00:01:30,False,3,26,6.0,46.5
845,2010-03-13 00:00:00,True,TOR,1,1900-01-01 00:08:14,True,2,21,1.0,3.7666666666666657
846,2010-03-13 00:00:00,True,TOR,1,1900-01-01 00:06:52,False,3,26,1.0,5.133333333333334
847,2010-03-13 00:00:00,True,TOR,1,1900-01-01 00:06:02,False,2,12,1.0,5.966666666666667
848,2010-03-13 00:00:00,True,TOR,1,1900-01-01 00:02:44,False,2,17,1.0,9.266666666666666
849,2010-03-13 00:00:00,True,TOR,1,1900-01-01 00:01:56,False,3,25,1.0,10.066666666666666
850,2010-03-13 00:00:00,True,TOR,2,1900-01-01 00:11:04,True,2,19,2.0,12.933333333333334
851,2010-03-13 00:00:00,True,TOR,2,1900-01-01 00:01:25,True,2,22,3.0,22.583333333333332
852,2010-03-13 00:00:00,True,TOR,2,1900-01-01 00:01:01,False,2,3,3.0,22.983333333333334
853,2010-03-13 00:00:00,True,TOR,2,1900-01-01 00:00:58,True,3,23,4.0,23.03333333333333
854,2010-03-13 00:00:00,True,TOR,3,1900-01-01 00:10:40,True,2,2,5.0,25.333333333333336
855,2010-03-13 00:00:00,True,TOR,3,1900-01-01 00:09:35,True,3,23,6.0,26.416666666666664
