"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtsMade","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2016-11-16","GSW","TOR","37:22",83,35,7,10,0.7,3,9,0.3333333333333333,0.3333333333333333,12,6,8,9,0,0.42857142857142855,0.42857142857142855,1,0.47368421052631576,0.5144921052631579,0.6052631578947368,0.7,0,0,0,0,0,28.57142857142857
"2016-11-18","GSW","BOS","36:18",71,16,5,10,0.5,2,10,0.2,0.2222222222222222,0,6,4,0,6,0.6,0.6,0,0.5,0.5426605263157894,0.4,0.4,0,1,0.1,0,0,27.848101265822788
"2016-11-19","GSW","MIL","34:42",73,20,6,10,0.6,1,11,0.09090909090909091,0.09090909090909091,5,8,4,3,0,0.6666666666666666,0.6666666666666666,1,0.5238095238095238,0.5617023809523809,0.35714285714285715,0.4166666666666667,0,0,0,0,0,27.472527472527474
"2016-11-21","GSW","IND","29:30",64,22,4,5,0.8,2,6,0.3333333333333333,0.3333333333333333,8,6,2,3,3,0.75,1,0.5,0.5454545454545454,0.5457090909090909,0.6363636363636364,0.7333333333333333,2,0,0,0,0,21.333333333333332
"2016-11-23","GSW","LAL","28:44",65,31,4,6,0.6666666666666666,7,12,0.5833333333333334,0.6363636363636364,2,8,0,18,3,1,1,0.8571428571428571,0.6666666666666666,0.5430617647058823,0.8055555555555556,0.8611111111111112,0,0,0,0,0,27.941176470588232
"2016-11-25","GSW","LAL","35:36",78,24,4,7,0.5714285714285714,4,10,0.4,0.4,4,4,4,9,3,0.5,0.6666666666666666,0.75,0.5882352941176471,0.6189558823529412,0.5882352941176471,0.631578947368421,2,0,0,1,0.1,25.925925925925924
"2016-11-26","GSW","MIN","37:09",76,34,9,11,0.8181818181818182,4,8,0.5,0.5,4,6,12,9,3,0.3333333333333333,0.3333333333333333,0.75,0.42105263157894735,0.4801894736842105,0.7894736842105263,0.8095238095238095,0,0,0,0,0,33.33333333333333
"2016-11-28","GSW","ATL","38:14",79,25,2,6,0.3333333333333333,4,11,0.36363636363636365,0.36363636363636365,9,0,4,9,3,0,0,0.75,0.6470588235294118,0.4970294117647059,0.47058823529411764,0.5681818181818182,0,2,0.3333333333333333,0,0,28.089887640449437
"2016-12-01","GSW","HOU","38:23",82,28,5,9,0.5555555555555556,4,13,0.3076923076923077,0.3076923076923077,6,6,4,12,0,0.6,0.6,1,0.5909090909090909,0.5032227272727273,0.5,0.56,0,1,0.1111111111111111,0,0,30.851063829787233
"2016-12-03","GSW","PHX","29:51",68,31,5,8,0.625,5,7,0.7142857142857143,0.7142857142857143,6,4,6,12,3,0.4,0.4,0.8,0.4666666666666667,0.49527333333333334,0.8333333333333334,0.8611111111111112,0,0,0,0,0,26.388888888888886
